customer_id,date_registered,gender,,current_location,residence,job,age_group,salary_range
24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd,29-09-2021,M,,"['78.937112', '71.260464']","195 Brandi Junctions
New Julieberg, NE 63410",Chief Technology Officer,46-59,50K–100K
7b2bc220-0296-4914-ba46-d6cc6a55a62a,17-08-2019,F,,"['-24.1692185', '100.746122']","58272 Brown Isle Apt. 698
Port Michael, HI 04693",Data scientist,36-45,50K–100K
06febdf9-07fb-4a1b-87d7-a5f97d9a5faf,01-11-2019,M,,"['8.019908', '-19.603269']","36848 Jones Lane Suite 282
Marquezbury, ID 26822",Chief Operating Officer,46-59,>100K
23df88e5-5dd3-46af-ac0d-0c6bd92e4b96,31-12-2021,F,,"['62.497506', '2.717198']","317 Lamb Cape Apt. 884
Lake Amy, DC 79074",Counselling psychologist,26-35,>100K
6069c2d7-7905-4993-a155-64f6aba143b1,09-08-2020,F,,"['73.7924695', '-80.314720']","21936 Mary Islands
Mendozafort, TN 37124",Mining engineer,46-59,>100K
aee2c6aa-c9a4-488c-9e10-6a09dbe2f199,29-12-2021,M,,"['43.229788', '54.454713']","7676 Stephanie Drive Suite 922
New Anthony, IA 10634",Civil Service administrator,46-59,<50K
4d52c646-8cc7-4935-9119-130be16518ba,13-09-2019,F,,"['-27.7805925', '10.773065']","PSC 6686, Box 7297
APO AP 18320",Fast food restaurant manager,46-59,>100K
2a8e2be0-7e41-4a56-9092-7a6258e4d5a1,06-10-2021,F,,"['-50.553672', '114.947839']","4302 Rowe Drive Suite 678
New Roger, SD 96993","Editor, magazine features",46-59,50K–100K
906fc563-00bb-4974-9e8a-d3d97608ad64,01-11-2021,F,,"['-47.2706515', '-5.433348']","347 Arnold Shoal
Lake Gregory, IL 46021",Patent examiner,60+,>100K
44f14da1-5b00-4b6a-bfe4-5be67a4b2521,01-04-2020,F,,"['3.7511305', '130.887868']","319 Peterson Radial
North Matthew, VT 09847",Sports coach,18-25,50K–100K
0a657d74-2476-4381-a98a-bffa72149a43,21-08-2021,M,,"['78.4831185', '-0.820174']","Unit 9475 Box 9310
DPO AE 37277",Claims inspector/assessor,46-59,50K–100K
d1aa82a1-617d-48cf-b2e9-c89174d537b8,22-08-2021,F,,"['18.9796615', '34.978919']","15814 Meghan Estate
East Kevin, KS 43526",Comptroller,36-45,>100K
56c75862-4729-4cb6-8b58-a96ac2c811e0,18-07-2019,M,,"['67.454802', '-89.664743']","4168 Melissa Estate
North Adriennefurt, NJ 13464",Building control surveyor,60+,50K–100K
ed0f8007-ec29-481b-bca7-bbd7736624d0,01-07-2020,M,,"['-37.5069785', '-113.107777']","93291 Davis Via
Perryland, KS 55168",Operations geologist,26-35,50K–100K
27bc967a-42c5-4576-9356-f9713ee98765,09-05-2022,M,,"['-81.814827', '-171.417053']","499 Brooke Estates Suite 228
North Bill, AZ 02407",Passenger transport manager,60+,>100K
a13e6d8a-1b1a-4803-af7e-f646d486773e,21-06-2022,F,,"['-24.925930', '-142.885150']","5597 April Center Suite 408
Marshalltown, FL 15327",Commissioning editor,26-35,>100K
40eba54a-a028-4397-8729-b53df9c2b114,24-08-2019,F,,"['73.632736', '107.711584']","61415 Frost Station
South Rachaelbury, IA 63371",Company secretary,46-59,50K–100K
0d206e0c-2641-4a08-be21-ed5e5d1c384a,18-08-2021,F,,"['53.859108', '-4.357020']","5267 Patricia Oval
Port John, OK 53838",Pensions consultant,46-59,<50K
956039c6-6276-4034-9074-7b2d4a3d204d,25-04-2020,M,,"['13.4592535', '-2.480665']","6158 Paige Inlet
South Rachelbury, MA 67450",English as a foreign language teacher,36-45,>100K
6b6207fd-7226-49ae-a1c7-2bd1118383ee,14-10-2019,M,,"['-5.6704225', '39.974192']","6086 Tracy Dam Apt. 268
Mariashire, IL 84740","Surveyor, mining",36-45,>100K
4f18395b-b0e4-440b-82dd-2c356a9fbf58,17-09-2020,M,,"['58.4856465', '159.210674']","4864 Townsend Junction
Davidside, MI 93832",Regulatory affairs officer,46-59,>100K
52980958-5053-4faa-9e9f-562734bf7cfc,23-02-2020,F,,"['-16.335065', '122.866650']","27682 William Centers Suite 676
Robbinsfurt, WA 66214",Sales promotion account executive,36-45,<50K
eb129918-b2b7-4113-9887-199f402476a6,25-01-2022,M,,"['-33.3945515', '39.872755']","02119 Liu Village Apt. 541
Nealtown, NY 56313","Programme researcher, broadcasting/film/video",18-25,<50K
7fd45b4b-7498-455c-9a92-778dcfe26964,15-11-2019,M,,"['10.720397', '67.590393']","3815 Graves Light Apt. 144
Zacharyhaven, WI 15120",Barista,36-45,>100K
24df512e-4d26-4ea5-9cd3-784c3b8e8b94,01-06-2022,F,,"['-15.410874', '-154.585253']","517 Simon Ferry Apt. 834
Campbellhaven, ME 93955",Personnel officer,46-59,>100K
b4361de5-a620-4e4a-be8e-e3a6bf7a2bc8,18-11-2021,M,,"['26.2968495', '-47.562637']","8300 Moore Crest Suite 521
Robinsonfort, OK 33610",Sales promotion account executive,18-25,>100K
3d1570c0-1ed3-4a5c-9fa5-1f3cc42f47c5,16-02-2021,F,,"['-59.1622195', '67.879394']","945 Amy Square Suite 464
East Laurahaven, NH 25093","Lighting technician, broadcasting/film/video",36-45,>100K
95e82636-6b77-4bcf-be39-41eabe0cf3a0,27-07-2020,M,,"['-52.127987', '-131.156368']","912 Ashley Extension Suite 904
Port Wandachester, HI 96685",Tax inspector,18-25,50K–100K
b350d27b-06d9-4c93-88a6-e596d32d8538,07-08-2020,M,,"['-32.770851', '133.658289']","3771 Smith Estate Apt. 951
Diazside, VT 35214","Accountant, chartered management",60+,<50K
e139b16e-1428-4cf6-b934-20f9c0a1417f,21-07-2021,M,,"['27.6796135', '-40.988177']","USS Kelly
FPO AA 36126",Solicitor,26-35,>100K
